prname,date,numconf,numdeaths
Newfoundland and Labrador,4/20/2020,257,3
New Brunswick,4/20/2020,118,0
Nova Scotia,4/20/2020,721,9
Prince Edward Island,4/20/2020,26,0
Yukon,4/20/2020,11,0
Northwest Territories,4/20/2020,5,0
Nunavut,4/20/2020,0,0
Repatriated travellers,4/20/2020,13,
Canada,4/20/2020,36823,1695
British Columbia,4/21/2020,1724,87
Alberta,4/21/2020,3095,61
Saskatchewan,4/21/2020,320,4
Manitoba,4/21/2020,246,6
Ontario,4/21/2020,11735,627
Quebec,4/21/2020,20126,1041
Newfoundland and Labrador,4/21/2020,257,3
New Brunswick,4/21/2020,118,0
Nova Scotia,4/21/2020,737,10
Prince Edward Island,4/21/2020,26,0
Yukon,4/21/2020,11,0
Northwest Territories,4/21/2020,5,0
Nunavut,4/21/2020,0,0
Repatriated travellers,4/21/2020,13,
Canada,4/21/2020,38413,1839
British Columbia,4/22/2020,1795,90
Alberta,4/22/2020,3401,66
Saskatchewan,4/22/2020,326,4
Manitoba,4/22/2020,246,6
Ontario,4/22/2020,12245,664
Quebec,4/22/2020,20965,1134
Newfoundland and Labrador,4/22/2020,256,3
New Brunswick,4/22/2020,118,0
Nova Scotia,4/22/2020,772,12
Prince Edward Island,4/22/2020,26,0
Yukon,4/22/2020,11,0
Northwest Territories,4/22/2020,5,0
Nunavut,4/22/2020,0,0
Repatriated travellers,4/22/2020,13,
Canada,4/22/2020,40179,1979
British Columbia,4/23/2020,1824,94
Alberta,4/23/2020,3720,67
Saskatchewan,4/23/2020,331,4
Manitoba,4/23/2020,251,6
Ontario,4/23/2020,12879,718
Quebec,4/23/2020,21838,1243
Newfoundland and Labrador,4/23/2020,256,3
New Brunswick,4/23/2020,118,0
Nova Scotia,4/23/2020,827,16
Prince Edward Island,4/23/2020,26,0
Yukon,4/23/2020,11,0
Northwest Territories,4/23/2020,5,0
Nunavut,4/23/2020,0,0
Repatriated travellers,4/23/2020,13,
Canada,4/23/2020,42099,2151
British Columbia,4/24/2020,1853,98
Alberta,4/24/2020,4017,72
Saskatchewan,4/24/2020,341,4
Manitoba,4/24/2020,252,6
Ontario,4/24/2020,13519,768
Quebec,4/24/2020,22616,1340
Newfoundland and Labrador,4/24/2020,256,3
New Brunswick,4/24/2020,118,0
Nova Scotia,4/24/2020,850,16
Prince Edward Island,4/24/2020,26,0
Yukon,4/24/2020,11,0
Northwest Territories,4/24/2020,5,0
Nunavut,4/24/2020,0,0
Repatriated travellers,4/24/2020,13,
Canada,4/24/2020,43877,2307
British Columbia,4/25/2020,1948,100
Alberta,4/25/2020,4233,73
Saskatchewan,4/25/2020,347,4
Manitoba,4/25/2020,256,6
Ontario,4/25/2020,13995,816
Quebec,4/25/2020,23267,1446
Newfoundland and Labrador,4/25/2020,257,3
New Brunswick,4/25/2020,118,0
Nova Scotia,4/25/2020,865,22
Prince Edward Island,4/25/2020,26,0
Yukon,4/25/2020,11,0
Northwest Territories,4/25/2020,5,0
Nunavut,4/25/2020,0,0
Repatriated travellers,4/25/2020,13,
Canada,4/25/2020,45341,2470
British Columbia,4/26/2020,1948,100
Alberta,4/26/2020,4480,73
Saskatchewan,4/26/2020,353,4
Manitoba,4/26/2020,260,6
Ontario,4/26/2020,14432,840
Quebec,4/26/2020,24107,1515
Newfoundland and Labrador,4/26/2020,258,3
New Brunswick,4/26/2020,118,0
Nova Scotia,4/26/2020,873,24
Prince Edward Island,4/26/2020,26,0
Yukon,4/26/2020,11,0
Northwest Territories,4/26/2020,5,0
Nunavut,4/26/2020,0,0
Repatriated travellers,4/26/2020,13,
Canada,4/26/2020,46884,2565
British Columbia,4/27/2020,1998,103
Alberta,4/27/2020,4696,75
Saskatchewan,4/27/2020,365,5
Manitoba,4/27/2020,261,6
Ontario,4/27/2020,14856,897
Quebec,4/27/2020,24982,1599
Newfoundland and Labrador,4/27/2020,258,3
New Brunswick,4/27/2020,118,0
Nova Scotia,4/27/2020,900,24
Prince Edward Island,4/27/2020,26,0
Yukon,4/27/2020,11,0
Northwest Territories,4/27/2020,5,0
